epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,14479.6,0.85722,0.43836,0.91162,0.99634,0.97927,0.99248,0.817,0.79436,0.32663,0.93192,0.000131362,0.000131362,0.000131362
104,14619.9,0.84381,0.43558,0.90293,0.99487,0.98467,0.99239,0.81873,0.79337,0.3245,0.92842,0.000130203,0.000130203,0.000130203
105,14759.9,0.85557,0.43938,0.90048,0.99441,0.98467,0.99318,0.8194,0.78551,0.32381,0.92138,0.000129041,0.000129041,0.000129041
106,14900.2,0.83749,0.42418,0.90284,0.99462,0.98421,0.99262,0.81806,0.78762,0.31898,0.9279,0.000127874,0.000127874,0.000127874
107,15040.5,0.84294,0.43208,0.9037,0.9943,0.98142,0.99246,0.81931,0.79091,0.32221,0.92801,0.000126704,0.000126704,0.000126704
108,15181.7,0.83305,0.42263,0.89936,0.99547,0.98221,0.99257,0.81852,0.79268,0.32598,0.92746,0.00012553,0.00012553,0.00012553
109,15321.7,0.83205,0.42203,0.90354,0.99181,0.97924,0.99226,0.8174,0.79152,0.32432,0.92293,0.000124353,0.000124353,0.000124353
110,15461.2,0.84227,0.43182,0.90464,0.98909,0.98513,0.99316,0.82155,0.78288,0.32052,0.91998,0.000123172,0.000123172,0.000123172
111,15601.6,0.8304,0.42966,0.90115,0.993,0.98024,0.99335,0.81661,0.78737,0.3201,0.9251,0.000121989,0.000121989,0.000121989
112,15741.3,0.84281,0.43091,0.90228,0.99149,0.98185,0.9935,0.81656,0.79185,0.32249,0.92222,0.000120802,0.000120802,0.000120802
113,15882.3,0.83853,0.42515,0.90385,0.99034,0.98344,0.99335,0.81755,0.7902,0.32062,0.92246,0.000119613,0.000119613,0.000119613
114,16021.8,0.82199,0.41579,0.90187,0.99066,0.98206,0.99262,0.81803,0.77962,0.31899,0.91917,0.000118422,0.000118422,0.000118422
115,16162.4,0.83445,0.42828,0.90264,0.99446,0.97954,0.99259,0.82246,0.77439,0.3178,0.91736,0.000117228,0.000117228,0.000117228
116,16302.2,0.82565,0.4189,0.90364,0.99607,0.97999,0.99244,0.8235,0.76924,0.31663,0.91744,0.000116032,0.000116032,0.000116032
117,16442.7,0.8307,0.42503,0.9029,0.9968,0.98006,0.99265,0.82512,0.75489,0.31306,0.91828,0.000114834,0.000114834,0.000114834
118,16583.8,0.81588,0.4197,0.89747,0.99738,0.98178,0.99287,0.82664,0.75051,0.31191,0.91621,0.000113635,0.000113635,0.000113635
